,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BzkeG-HnjEM,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/ef767f630420c152ee61c7bb341a3e5f/5DB11FE5/t51.2885-15/e35/65835819_329711447953074_3643949361640504429_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MTkyMTM0ODE2NDAwNjE1Ng%3D%3D.2,3016,False,6,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1562404386
1,BzgR7ILnqGc,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/263f9890ce0a16c05349d4aab0a9f4f7/5DA33C35/t51.2885-15/e35/66138217_186284605699938_8635529509948160421_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MDc0MTg1Nzg2OTg2NTM3Mg%3D%3D.2,25375,False,47,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1562263780
2,BzfwtbcH7Ps,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/32b7dbffa109e10f5ff0ea92b1ddd672/5DC5D92F/t51.2885-15/e35/66155920_101744804422971_3022060313666728174_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA4MDU5NTc4MDk0MDMxMzU4MA%3D%3D.2,14651,False,24,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1562246366
3,BzdMrJVnzNE,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/ad23fa42a7a773d30f80fd8f01dcbdb9/5DC4A19B/t51.2885-15/e35/65886182_463233440887627_3076888470713991175_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3OTg3NDM0NDQzNzEwMTM4MA%3D%3D.2,16972,False,61,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1562160364
4,BzcBf00nhaF,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/17b0b129a957a38b88b3c19361bb4a65/5DB97210/t51.2885-15/e35/65412958_2363503730339583_7827551863860391144_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3OTU0MzcxMzAwNTk2Njk4MQ%3D%3D.2,21159,False,36,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1562120950
5,Bzay8dqHUK0,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/fcc5c8dec8d386adbb88c1f341e34d67/5DC374F9/t51.2885-15/e35/64604466_102477541012047_8229028111538806925_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3OTE5ODIzNTMyNDEzODE2NA%3D%3D.2,15868,False,73,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1562079766
6,BzYPflZHd8i,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/2ab45c61576a905507f0adf8cacc7ce9/5DC6BCFF/t51.2885-15/e35/66263513_156668802131661_7942318495895570088_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3ODQ3OTM2OTE4Mjc2NDgzNA%3D%3D.2,12544,False,17,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561994070
7,BzSuLJGH-Ln,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/3a12d6b24d371b4fb3896129ae1e245c/5DBB76AF/t51.2885-15/e35/66113336_331799844416572_342238953662105178_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NjkyNTQ1Mzk5MTQwNDI2Mw%3D%3D.2,16580,False,34,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561808829
8,BzNpy3enBa6,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/719a0e5f5761099862096a3fe9c87ee7/5DC7068C/t51.2885-15/e35/64621699_2119894128311069_8228785459234084313_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NTQ5ODgxODczNzgwNDk4Ng%3D%3D.2,41710,False,302,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561638761
9,BzJEu3Gg4pJ,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/5c77fac7ab887be3844ff8109dcd6dd9/5DC24D59/t51.2885-15/e35/64265790_684601688646519_6473600581645648496_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NDIwOTkxNTgyNzg4MjU2OQ%3D%3D.2,32764,False,181,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561485112
10,BzI1bBxAi8l,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/5d697670c66e50546579557b2a94ef3d/5DB54A4F/t51.2885-15/e35/65111421_620207975142483_1780073280746977605_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NDE0MjU4MjE5MTA0MjM0MQ%3D%3D.2,14478,False,80,1080,1080,"Do you love chocolates?🍫
Follow @logicdetector for more!😉",[],1561477085
11,BzIcjnGg0L_,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/a124b7ad067d25ed52499ff580962c65/5DB84883/t51.2885-15/e35/65386001_669944796763429_186914601303322730_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3NDAzMzIyMDg3MzMwNjg3OQ%3D%3D.2,7966,False,27,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561464048
12,BzGfLOXAVK6,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/441435531037149c8a0f529937484734/5DC547F4/t51.2885-15/e35/64405235_629607537517415_2871947091080618116_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MzQ4MTc4OTIyNTEyODYzNA%3D%3D.2,22104,False,122,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561398312
13,BzGCB6pAbY_,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/3734e7cd1ff95ee4a1dff17635c5ebe6/5DBD8DB2/t51.2885-15/e35/62424624_154135152417448_8086945340507224745_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MzM1MzYwNjIyODE5NDg3OQ%3D%3D.2,22931,False,78,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561383032
14,BzFil58gaEx,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/7bf064c4d7e3192ca490f00d63311827/5DB4720B/t51.2885-15/e35/62541398_327481034836644_4853822142227151487_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MzIxNTM0MTg5NDQxMDU0NQ%3D%3D.2,11208,False,14,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561366549
15,BzAh2v3H7kj,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/3c8fafc24c5f73d918e7ad46bbd74a8d/5DC0D67E/t51.2885-15/e35/62259926_360092158024507_7416350510878831455_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MTgwNDcyNjM2NzcyOTk1NQ%3D%3D.2,31196,False,181,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561198391
16,By7_LdNnNXm,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/c1cde728ea5fc2c90807d75027f7b22a/5DB3CA70/t51.2885-15/e35/62092798_228704654756572_8310399078237866853_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MDUyNjMxNzkxODIxMzYwNg%3D%3D.2,55529,False,207,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561045993
17,By7UftfnfDd,logicdetector,https://scontent-bom1-2.cdninstagram.com/vp/98fcd67de8573533cc56317a90bd322f/5DC6AC97/t51.2885-15/e35/62259942_335194380737523_8929498827280170556_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MjA3MDMzODU5Mzc4OTcwMjM2NQ%3D%3D.2,16673,False,17,1080,1080,"Quite helpful!💯
Follow @logicdetector for more!😉",[],1561023614
